cell_id	donor_id	cytotoxicity	treg_activation	central_memory	scaled_age	sex	scaled_log_nUMI	percent_mito	gPC1	gPC2	gPC3	gPC4	gPC5	ePC1	ePC2	ePC3	ePC4	ePC5
cell_000011	donor_002	-0.118638	0.285826	1.306002	2.923643	F	2.079216	0.04456	-0.00223	0.015488	-0.033271	0.001053	-0.021937	0.240775	-1.809517	1.089509	0.119675	0.684853
cell_000012	donor_002	0.219383	-0.410927	1.106289	2.923643	F	2.888722	0.04491	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.405944	-1.826717	-2.27891	-0.944368	0.517294
cell_000013	donor_002	0.428756	1.535756	0.183234	2.923643	F	2.025523	0.03298	-0.00223	0.015488	-0.033271	0.001053	-0.021937	1.297891	0.301971	-1.052227	-0.784124	1.360783
cell_000014	donor_002	-1.224469	-1.368159	1.650928	2.923643	F	1.773088	0.03385	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-1.310781	2.101773	1.876038	2.134722	0.380701
cell_000015	donor_002	1.723666	-0.179519	-0.383187	2.923643	F	2.748361	0.03196	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.341525	0.356346	0.908585	-0.650776	-1.101203
cell_000016	donor_002	1.461444	-1.107046	-0.894727	2.923643	F	1.876924	0.01424	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.283936	-0.772308	1.240886	-0.61643	0.095641
cell_000017	donor_002	0.643327	-0.394605	-0.005122	2.923643	F	1.357929	0.01628	-0.00223	0.015488	-0.033271	0.001053	-0.021937	0.983041	1.279842	0.208559	0.384296	-1.016991
cell_000018	donor_002	-0.163443	0.337575	1.407482	2.923643	F	1.703663	0.01597	-0.00223	0.015488	-0.033271	0.001053	-0.021937	1.023057	1.263523	-1.870353	1.762946	-0.700659
cell_000019	donor_002	0.090585	0.643939	-2.050172	2.923643	F	1.501365	0.00198	-0.00223	0.015488	-0.033271	0.001053	-0.021937	0.594631	0.077562	-0.060376	-0.206518	-0.992563
cell_000020	donor_002	-0.048718	-0.843230	-1.218813	2.923643	F	1.280014	0.03286	-0.00223	0.015488	-0.033271	0.001053	-0.021937	0.523828	-0.286045	-1.309422	-1.035005	-1.292446
cell_000021	donor_002	-0.878152	-0.334123	0.915903	2.923643	F	1.854794	0.02919	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.524591	0.485099	-0.711118	0.975442	-0.119214
cell_000022	donor_002	-1.326393	0.030631	-0.484169	2.923643	F	1.971914	0.04524	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.289405	0.016765	1.395155	-1.371339	1.656367
cell_000023	donor_002	-0.327673	1.002758	0.538115	2.923643	F	2.472211	0.05521	-0.00223	0.015488	-0.033271	0.001053	-0.021937	0.96016	-0.021656	1.183026	-0.322473	0.285678
cell_000024	donor_002	1.337398	-0.154506	-0.695943	2.923643	F	2.251761	0.05649	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.541415	0.966475	-0.707256	-0.051368	0.679139
cell_000025	donor_002	-0.223859	0.242497	0.176573	2.923643	F	2.233534	0.05837	-0.00223	0.015488	-0.033271	0.001053	-0.021937	1.04819	-0.821155	0.753138	-0.981985	-2.150331
cell_000026	donor_002	-1.084388	0.090490	0.228228	2.923643	F	1.642716	0.01486	-0.00223	0.015488	-0.033271	0.001053	-0.021937	-0.748064	0.83466	-0.012217	-0.534998	0.055478
cell_000027	donor_003	2.517474	1.876845	-0.853243	1.717804	M	2.353973	0.00136	-0.005888	-0.011728	-0.01276	0.004512	0.004424	0.0224	0.621899	-1.61171	-0.102353	0.124277
cell_000028	donor_003	-0.287383	-1.463442	-0.590707	1.717804	M	2.556493	0.04861	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-1.36537	-1.379082	-0.364708	0.008524	0.012046
cell_000029	donor_003	0.315605	1.205854	-0.729084	1.717804	M	2.157828	0.05764	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-0.556348	-0.597335	-0.395176	0.298522	1.244621
cell_000030	donor_003	-0.654146	-2.147289	-0.162666	1.717804	M	2.169007	0.06112	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-2.220397	0.623002	-0.111152	0.525722	1.185543
cell_000031	donor_003	-1.062414	-0.529439	-0.876861	1.717804	M	1.494123	0.0397	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-0.755126	0.944305	-1.254043	0.127599	-0.242517
cell_000032	donor_003	-0.094263	-1.757728	-1.467045	1.717804	M	2.421774	0.00993	-0.005888	-0.011728	-0.01276	0.004512	0.004424	0.046279	-0.989034	0.436883	1.586287	-0.971857
cell_000033	donor_003	2.129247	-1.287423	-1.096786	1.717804	M	2.712332	0.03731	-0.005888	-0.011728	-0.01276	0.004512	0.004424	0.189646	0.855873	-0.296741	1.360393	-0.429688
cell_000034	donor_003	1.836914	2.905067	-1.171567	1.717804	M	2.129181	0.04111	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-0.116295	-0.993154	0.12659	0.003023	0.635901
cell_000035	donor_003	-0.368249	0.341556	1.728698	1.717804	M	1.762257	0.05504	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-0.636206	-0.681996	0.462492	1.39719	0.62901
cell_000036	donor_003	-0.986857	-0.245278	0.777338	1.717804	M	1.935202	0.05859	-0.005888	-0.011728	-0.01276	0.004512	0.004424	1.847412	0.555307	0.519293	0.679293	1.488171
cell_000037	donor_003	0.434766	-0.376156	-0.133823	1.717804	M	1.831832	0.04819	-0.005888	-0.011728	-0.01276	0.004512	0.004424	1.23757	-1.084878	0.800582	0.265357	-0.194035
cell_000038	donor_003	-1.374896	-0.238174	-0.266387	1.717804	M	1.85582	0.01825	-0.005888	-0.011728	-0.01276	0.004512	0.004424	-1.772929	-1.540161	-0.364467	-1.464592	-0.343757
cell_000039	donor_003	0.232170	-0.555327	0.471539	1.717804	M	2.259193	0.00942	-0.005888	-0.011728	-0.01276	0.004512	0.004424	0.714341	-0.580956	0.083463	-1.069952	0.298767
cell_000040	donor_003	1.012716	0.155429	0.351756	1.717804	M	2.111786	0.04068	-0.005888	-0.011728	-0.01276	0.004512	0.004424	0.508135	-1.422934	-0.751886	-1.26717	0.509215
cell_000041	donor_003	0.053155	0.000084	-0.721558	1.717804	M	2.401575	0.01415	-0.005888	-0.011728	-0.01276	0.004512	0.004424	0.164007	-0.049712	-0.128282	0.322835	0.342851
cell_000042	donor_004	0.316494	-0.097287	2.093168	-1.439448	M	2.148361	0.0595	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.495577	-0.635597	-0.058995	-0.189735	2.060682
cell_000043	donor_004	1.573355	0.385847	-0.763057	-1.439448	M	1.654365	0.00409	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.383895	0.289665	0.465926	1.400524	-0.811185
cell_000044	donor_004	-1.112411	1.191143	0.262749	-1.439448	M	1.799723	0.04134	-0.004396	0.007414	-0.017372	0.013632	-0.004124	1.339648	-0.147396	2.501345	0.362602	-1.228929
cell_000045	donor_004	0.480143	-1.744586	0.927438	-1.439448	M	1.774864	0.03639	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.197159	1.336269	0.081541	-0.059625	0.718997
cell_000046	donor_004	0.454420	-1.110431	-0.471525	-1.439448	M	1.925412	0.02586	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.344998	-0.210733	-0.944675	1.728821	-1.222611
cell_000047	donor_004	0.263717	0.052467	-0.292171	-1.439448	M	2.717885	0.0115	-0.004396	0.007414	-0.017372	0.013632	-0.004124	0.169467	0.479885	-0.013651	-1.253863	-0.998764
cell_000048	donor_004	-0.103488	-0.251977	0.152563	-1.439448	M	2.78196	0.01124	-0.004396	0.007414	-0.017372	0.013632	-0.004124	0.522517	-0.779879	-2.072017	0.386978	-0.872495
cell_000049	donor_004	1.471492	-2.566658	-0.236850	-1.439448	M	2.33464	0.01937	-0.004396	0.007414	-0.017372	0.013632	-0.004124	0.631219	-0.201621	-0.249812	0.052238	-1.138493
cell_000050	donor_004	0.176512	0.295994	-0.371915	-1.439448	M	2.047506	0.01972	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.825453	-0.259924	-1.144343	0.713818	-0.307379
cell_000051	donor_004	-1.756722	0.327995	1.727350	-1.439448	M	1.455339	0.05223	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-1.449437	-0.559029	0.101203	-0.44609	0.399816
cell_000052	donor_004	-1.533861	0.863828	-0.328525	-1.439448	M	2.088003	0.01434	-0.004396	0.007414	-0.017372	0.013632	-0.004124	0.574036	2.4017	1.150644	-1.63637	-0.360232
cell_000053	donor_004	-0.061324	-1.052899	-0.334456	-1.439448	M	1.683997	0.03906	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.266641	0.575071	-0.933586	-0.531252	-1.244412
cell_000054	donor_004	1.300045	0.582655	1.732312	-1.439448	M	2.652209	0.00416	-0.004396	0.007414	-0.017372	0.013632	-0.004124	-0.602266	-0.564966	-0.313006	-1.186513	0.982026
cell_000055	donor_005	1.177412	0.439087	1.743935	0.555738	F	1.357558	0.0396	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	0.472214	-1.44883	0.025973	-1.565255	1.342256
cell_000056	donor_005	0.438993	0.827988	-0.296571	0.555738	F	2.153794	0.01475	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	1.614108	-0.055737	-0.852645	-0.664269	-0.453742
cell_000057	donor_005	0.066546	-0.697424	0.989584	0.555738	F	1.650304	0.07191	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	-0.106827	1.37047	0.955602	0.971005	0.170578
cell_000058	donor_005	-1.178304	0.782350	-0.190651	0.555738	F	1.996194	0.02718	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	-1.153612	-0.770057	0.060721	-1.2011	0.303983
cell_000059	donor_005	1.171247	0.750869	1.820646	0.555738	F	2.266427	0.02589	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	0.805124	0.545345	0.505189	-1.866283	1.333356
cell_000060	donor_005	0.730775	-1.572040	-0.066953	0.555738	F	2.408787	0.01565	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	-1.567385	-0.152749	0.618544	0.358598	-1.277836
cell_000061	donor_005	-1.172007	-0.518280	1.511228	0.555738	F	1.975724	0.01249	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	-1.098326	0.287072	0.510845	-1.107204	0.392593
cell_000062	donor_005	0.637534	-0.698930	-1.013717	0.555738	F	2.304487	0.01688	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	-1.515273	0.624389	-0.883842	0.080513	-0.087398
cell_000063	donor_005	0.032782	-1.216560	-0.671140	0.555738	F	1.735012	0.02271	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	1.160657	0.24213	-0.599102	0.359593	2.142413
cell_000064	donor_005	0.312009	1.155312	0.608761	0.555738	F	2.098215	0.01675	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	0.740123	-0.059167	-0.833613	-0.616492	0.679993
cell_000065	donor_005	-2.291290	0.304367	0.072034	0.555738	F	2.400883	0.01367	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	-0.885803	0.002689	1.437619	0.150392	-1.079132
cell_000066	donor_005	0.413890	1.616210	-2.063238	0.555738	F	2.13284	0.00683	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	2.177848	1.762448	0.501177	1.275755	-0.26698
cell_000067	donor_005	-0.591103	0.590906	-1.581594	0.555738	F	1.788263	0.04644	-0.009673	-0.015895	-0.004828	0.037413	-0.001266	0.724454	-0.42354	-1.355415	2.591923	-1.406538
cell_000068	donor_006	1.475949	0.368357	0.846584	0.798931	M	1.888383	0.05402	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.297558	0.285877	0.516006	-0.089684	-0.07925
cell_000069	donor_006	-0.570944	0.813764	1.068472	0.798931	M	2.406262	0.02491	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.138412	0.479868	-0.001816	-0.068361	-1.32111
cell_000070	donor_006	0.232878	0.234401	0.270343	0.798931	M	1.563262	0.02965	-0.022888	0.018376	-0.009439	0.005675	-0.012113	2.013682	0.535699	0.208907	-0.624467	-1.003614
cell_000071	donor_006	-0.863345	-0.147529	-0.152523	0.798931	M	1.622274	0.00747	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.859986	-0.159862	0.621065	-1.35215	1.546855
cell_000072	donor_006	0.383394	0.999824	-1.058536	0.798931	M	2.240636	0.03142	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.901377	-0.081063	0.467625	0.741004	-1.336981
cell_000073	donor_006	-0.125009	1.481456	-0.743588	0.798931	M	1.824343	0.0346	-0.022888	0.018376	-0.009439	0.005675	-0.012113	1.677827	0.483261	-0.704102	-1.096592	0.987098
cell_000074	donor_006	-0.822250	0.202306	0.844385	0.798931	M	1.418777	0.02561	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.211159	0.482601	0.026665	-1.002744	0.508618
cell_000075	donor_006	0.011426	1.328961	0.856794	0.798931	M	2.540327	0.03792	-0.022888	0.018376	-0.009439	0.005675	-0.012113	-0.197535	-0.021691	2.377003	0.869069	0.926765
cell_000076	donor_006	0.841820	0.554117	2.327653	0.798931	M	1.56016	0.03617	-0.022888	0.018376	-0.009439	0.005675	-0.012113	2.720523	0.384574	0.119708	-0.679207	-0.452552
cell_000077	donor_006	-0.205162	-2.003522	1.604254	0.798931	M	1.920228	0.00892	-0.022888	0.018376	-0.009439	0.005675	-0.012113	-2.047104	0.790423	-1.266921	0.902736	-0.043026
cell_000078	donor_006	-0.457699	0.107880	1.309551	0.798931	M	1.752192	0.05386	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.128059	-0.042368	1.386074	1.209442	-0.028891
cell_000079	donor_006	-1.602260	-1.251647	-1.601278	0.798931	M	1.880927	0.02585	-0.022888	0.018376	-0.009439	0.005675	-0.012113	-0.899004	0.923889	-0.974575	-1.554861	0.49835
cell_000080	donor_006	-0.794136	0.439637	0.524188	0.798931	M	1.646152	0.06351	-0.022888	0.018376	-0.009439	0.005675	-0.012113	1.21849	-0.405085	0.404518	-0.415674	0.721993
cell_000081	donor_006	0.276274	-1.412766	-2.310103	0.798931	M	2.285712	0.03841	-0.022888	0.018376	-0.009439	0.005675	-0.012113	1.09503	-0.262865	-1.027603	-1.457031	0.925688
cell_000082	donor_006	0.054354	-0.471776	0.459386	0.798931	M	2.044329	0.06942	-0.022888	0.018376	-0.009439	0.005675	-0.012113	-1.136566	0.372024	0.777407	-0.501302	-0.166211
cell_000083	donor_006	0.701954	0.138241	0.760133	0.798931	M	2.393461	0.05351	-0.022888	0.018376	-0.009439	0.005675	-0.012113	0.999043	-0.808194	-0.909712	-0.234391	1.277913
cell_000084	donor_007	0.229211	0.530065	-0.704673	-0.337897	M	1.756333	0.03454	0.025615	-0.011815	0.027957	-0.020985	-0.005858	1.610731	-0.098783	-0.712122	1.064115	-1.669296
cell_000085	donor_007	-0.179611	0.196776	0.820528	-0.337897	M	2.853209	0.01554	0.025615	-0.011815	0.027957	-0.020985	-0.005858	0.247611	-0.043914	1.293828	1.395019	-0.942529
cell_000086	donor_007	-0.393741	0.521167	-0.265839	-0.337897	M	1.23814	0.01597	0.025615	-0.011815	0.027957	-0.020985	-0.005858	0.167678	-0.570604	-0.293327	0.617388	-0.334894
cell_000087	donor_007	-0.117542	0.829519	-1.993060	-0.337897	M	1.365946	0.04066	0.025615	-0.011815	0.027957	-0.020985	-0.005858	0.193925	0.957272	1.515162	0.28868	0.117765
cell_000088	donor_007	-1.296472	-1.482185	-2.333616	-0.337897	M	2.701234	0.03286	0.025615	-0.011815	0.027957	-0.020985	-0.005858	-1.10729	1.585798	0.495701	0.136225	0.085049
cell_000089	donor_007	-0.678264	0.749434	-0.284884	-0.337897	M	2.189617	0.01822	0.025615	-0.011815	0.027957	-0.020985	-0.005858	0.360653	0.77179	0.895551	1.610802	0.242689
cell_000090	donor_007	0.197790	1.089217	1.327686	-0.337897	M	2.136554	0.04666	0.025615	-0.011815	0.027957	-0.020985	-0.005858	1.754201	1.057723	-0.060131	-1.667374	0.085562
cell_000091	donor_007	-0.069138	1.353586	0.092127	-0.337897	M	2.17251	0.03078	0.025615	-0.011815	0.027957	-0.020985	-0.005858	1.558478	-0.775263	0.082463	0.165219	0.942127
cell_000092	donor_007	-0.837398	-0.594400	-1.480537	-0.337897	M	2.228483	0.04678	0.025615	-0.011815	0.027957	-0.020985	-0.005858	-0.387812	-0.869384	0.570002	-0.743387	-1.835505
cell_000093	donor_007	-0.888134	-0.358017	0.803585	-0.337897	M	2.119907	0.01049	0.025615	-0.011815	0.027957	-0.020985	-0.005858	1.840372	0.927031	1.883388	0.874013	0.680365
cell_000094	donor_008	1.720770	-1.382182	0.392827	0.178308	M	1.613638	0.04999	0.028	0.003363	0.045429	-0.005383	0.005141	0.369536	-0.186028	0.512107	-0.553232	-1.069229
cell_000095	donor_008	-1.040544	0.474697	-0.131087	0.178308	M	2.327276	0.04002	0.028	0.003363	0.045429	-0.005383	0.005141	-0.332226	1.291492	-1.232407	-1.216517	0.591309
cell_000096	donor_008	-1.830906	0.928297	-0.605001	0.178308	M	2.264271	0.05395	0.028	0.003363	0.045429	-0.005383	0.005141	-0.415079	0.485495	0.989857	0.461532	-0.632246
cell_000097	donor_008	-0.533900	-1.069752	-0.654283	0.178308	M	2.571372	0.04955	0.028	0.003363	0.045429	-0.005383	0.005141	1.282934	0.742123	0.026828	-0.021583	0.373993
cell_000098	donor_008	0.427890	-0.189244	0.328662	0.178308	M	2.705696	0.0283	0.028	0.003363	0.045429	-0.005383	0.005141	-0.311984	-1.631205	0.750158	0.690743	-2.301066
cell_000099	donor_008	0.361922	1.320662	-0.342786	0.178308	M	2.13219	0.02669	0.028	0.003363	0.045429	-0.005383	0.005141	0.510676	1.756484	-1.127638	-0.073291	-0.181982
cell_000100	donor_008	-1.476858	1.067222	-0.331488	0.178308	M	1.50898	0.06566	0.028	0.003363	0.045429	-0.005383	0.005141	1.660412	1.120947	-0.878416	0.342119	2.302672
cell_000101	donor_008	1.114592	0.383377	-0.131138	0.178308	M	2.709009	0.02419	0.028	0.003363	0.045429	-0.005383	0.005141	-0.624708	-0.011154	0.513507	-0.610055	1.763203
cell_000102	donor_008	0.348776	1.951013	2.076981	0.178308	M	1.59274	0.04497	0.028	0.003363	0.045429	-0.005383	0.005141	-0.472668	-1.389035	-0.524982	0.65302	-0.798174
cell_000103	donor_008	0.069381	0.160191	1.076240	0.178308	M	2.135186	0.02237	0.028	0.003363	0.045429	-0.005383	0.005141	0.302199	0.56255	-1.208934	-0.563702	0.348971
cell_000104	donor_008	-0.845661	0.333070	-0.025863	0.178308	M	1.897306	0.00724	0.028	0.003363	0.045429	-0.005383	0.005141	0.702412	-0.538784	0.151772	-0.283936	0.72785
cell_000105	donor_008	0.313908	-0.833369	-1.589567	0.178308	M	1.82775	0.00545	0.028	0.003363	0.045429	-0.005383	0.005141	0.519414	-0.373483	0.478444	-0.412598	0.457362
cell_000106	donor_008	-2.072983	-1.117384	-0.458675	0.178308	M	2.30572	0.03812	0.028	0.003363	0.045429	-0.005383	0.005141	0.471295	2.371047	-0.336262	-0.141268	-0.647232
cell_000107	donor_008	-0.293192	1.937231	1.105993	0.178308	M	2.097784	0.04402	0.028	0.003363	0.045429	-0.005383	0.005141	-1.032824	-0.45646	0.665101	0.737462	0.29568
cell_000108	donor_008	-0.962091	0.347708	-0.407078	0.178308	M	2.205297	0.03818	0.028	0.003363	0.045429	-0.005383	0.005141	-0.295765	-0.493375	-0.916831	-0.556888	-1.295128
cell_000109	donor_009	-0.284364	0.185326	0.619171	0.275982	F	1.673725	0.05292	0.038103	-0.030278	-0.032755	-0.01591	0.016267	1.357858	1.837151	-1.935863	0.289264	0.272692
cell_000110	donor_009	-0.339258	1.063852	-1.141938	0.275982	F	1.93037	0.03783	0.038103	-0.030278	-0.032755	-0.01591	0.016267	0.208809	-0.592744	1.022514	0.410477	1.034122
cell_000111	donor_009	0.006339	2.597674	0.223080	0.275982	F	1.692186	0.0145	0.038103	-0.030278	-0.032755	-0.01591	0.016267	-0.737512	-1.383183	0.434906	-0.962944	1.0546
cell_000112	donor_009	1.433215	0.091520	0.580777	0.275982	F	1.920371	0.04189	0.038103	-0.030278	-0.032755	-0.01591	0.016267	-2.126621	-0.46854	-0.615922	-0.332377	0.261099
cell_000113	donor_009	-0.056783	-0.170408	-0.779482	0.275982	F	1.952495	0.03339	0.038103	-0.030278	-0.032755	-0.01591	0.016267	0.396236	0.639738	0.754986	-0.171526	2.108704
cell_000114	donor_009	0.430301	-0.851537	0.665585	0.275982	F	2.737722	0.01849	0.038103	-0.030278	-0.032755	-0.01591	0.016267	1.38709	-0.311988	-0.136874	-0.333048	0.363299
cell_000115	donor_009	1.085287	0.366531	-0.286249	0.275982	F	1.896245	0.03945	0.038103	-0.030278	-0.032755	-0.01591	0.016267	-0.971938	-0.789537	-2.167366	-0.39866	1.064759
cell_000116	donor_009	0.453966	-0.308673	0.935547	0.275982	F	1.149761	0.03159	0.038103	-0.030278	-0.032755	-0.01591	0.016267	-0.152101	-0.096162	0.278159	-1.002237	0.025286
cell_000117	donor_009	-1.831406	-0.335607	-1.990812	0.275982	F	2.558037	0.0179	0.038103	-0.030278	-0.032755	-0.01591	0.016267	0.890329	0.306563	0.978165	1.264132	0.66259
cell_000118	donor_009	-1.495061	1.363862	0.895185	0.275982	F	2.179704	0.02644	0.038103	-0.030278	-0.032755	-0.01591	0.016267	-0.713367	-0.344135	1.931489	0.314169	0.180957
cell_000119	donor_009	-0.719480	-1.502503	-2.964529	0.275982	F	1.947596	0.05827	0.038103	-0.030278	-0.032755	-0.01591	0.016267	-0.859959	-0.091461	0.716374	0.014846	-0.519378
cell_000120	donor_010	-0.543496	2.420415	0.434884	-1.346611	M	1.825114	0.05762	-0.032197	0.011941	0.010534	0.040288	0.02091	-0.287386	1.191825	0.667781	0.53404	0.440882
cell_000121	donor_010	-0.559572	0.465080	-1.560958	-1.346611	M	1.62123	0.03376	-0.032197	0.011941	0.010534	0.040288	0.02091	-1.18303	0.272349	1.068007	-0.260922	0.977428
cell_000122	donor_010	-0.297323	0.099477	-0.086101	-1.346611	M	2.775219	0.03115	-0.032197	0.011941	0.010534	0.040288	0.02091	0.545227	0.827673	0.050936	0.886586	-1.464682
cell_000123	donor_010	0.790806	0.344645	0.668326	-1.346611	M	2.020738	0.00134	-0.032197	0.011941	0.010534	0.040288	0.02091	0.033146	0.713015	0.2963	1.095624	-0.157099
cell_000124	donor_010	-0.688372	0.897815	1.628937	-1.346611	M	1.3049	0.06439	-0.032197	0.011941	0.010534	0.040288	0.02091	-0.547455	-1.639075	-0.272967	0.516875	0.761009
cell_000125	donor_010	-0.970150	-0.887696	1.335784	-1.346611	M	2.131096	0.05073	-0.032197	0.011941	0.010534	0.040288	0.02091	-1.399186	1.175325	-0.974421	-0.121148	-0.568816
cell_000126	donor_010	-0.191344	1.403821	-0.442536	-1.346611	M	2.482469	0.04504	-0.032197	0.011941	0.010534	0.040288	0.02091	0.41725	0.094075	0.677969	1.843805	0.397852
cell_000127	donor_010	1.455046	0.131486	0.258229	-1.346611	M	2.062574	0.01549	-0.032197	0.011941	0.010534	0.040288	0.02091	-0.57668	0.461069	1.945139	0.65634	0.945694
cell_000128	donor_010	1.564718	-0.361770	-0.941122	-1.346611	M	1.639363	0.03082	-0.032197	0.011941	0.010534	0.040288	0.02091	-1.593576	0.386879	-0.268018	-0.680125	-0.022317
cell_000129	donor_010	-0.448564	0.452334	-1.565759	-1.346611	M	1.60357	0.02746	-0.032197	0.011941	0.010534	0.040288	0.02091	0.108634	-0.624392	0.188464	-0.173487	0.702439
cell_000130	donor_011	0.637471	-0.538771	1.147813	-1.031329	M	1.633072	0.04366	0.007281	0.027183	0.010778	-0.009201	-0.022892	0.227575	0.375923	0.979388	0.554956	-0.006084
cell_000131	donor_011	-2.394260	-0.786566	-1.686468	-1.031329	M	2.608663	0.02098	0.007281	0.027183	0.010778	-0.009201	-0.022892	-2.086925	0.513728	-0.911923	-0.086238	0.371047
cell_000132	donor_011	-0.826229	0.247666	-0.179227	-1.031329	M	1.971334	0.02537	0.007281	0.027183	0.010778	-0.009201	-0.022892	1.333029	1.842323	-0.921218	-1.315863	0.325717
cell_000133	donor_011	-0.253378	-0.159185	0.203388	-1.031329	M	1.32851	0.04239	0.007281	0.027183	0.010778	-0.009201	-0.022892	0.242428	-1.201876	-0.016603	0.597541	-1.230152
cell_000134	donor_011	-1.008536	0.706850	0.662666	-1.031329	M	2.153654	0.01453	0.007281	0.027183	0.010778	-0.009201	-0.022892	-0.994585	-0.64416	-0.21226	0.693972	-0.326481
cell_000135	donor_011	0.385038	0.556533	0.296418	-1.031329	M	2.056415	0.01852	0.007281	0.027183	0.010778	-0.009201	-0.022892	0.055317	2.246178	-0.95631	-0.652993	0.678089
cell_000136	donor_011	2.035073	-0.087094	-0.307083	-1.031329	M	1.820442	0.03387	0.007281	0.027183	0.010778	-0.009201	-0.022892	0.988043	0.414801	1.808968	0.317456	-1.976104
cell_000137	donor_011	-0.753528	-1.032263	-1.244472	-1.031329	M	1.591837	0.05677	0.007281	0.027183	0.010778	-0.009201	-0.022892	0.096996	-0.570984	1.383812	0.964624	-1.589691
cell_000138	donor_011	-0.888797	-0.070680	0.334295	-1.031329	M	1.574442	0.04617	0.007281	0.027183	0.010778	-0.009201	-0.022892	1.350318	0.939368	-0.324462	-0.078442	1.392177
