cell_id	donor_id	C1	C2	C3	scaled_age	sex	scaled_log_nUMI	percent_mito	gPC1	gPC2	gPC3	gPC4	gPC5	ePC1	ePC2	ePC3	ePC4	ePC5
cell_000047	donor_001	0.20349416121320757	0.014414189280869365	0.15896476198939685	-0.229553	M	0.254047	0.001507	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.270824	0.707137	-0.734409	0.613706	-0.627447
cell_000048	donor_001	1.7157845729640768	0.3216169274113215	0.14298635182876043	-0.229553	M	-0.01411	0.088491	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.064473	-1.062381	0.235557	-1.359018	-1.253499
cell_000049	donor_002	0.25050628245338213	1.3044262303510559	0.3375009172252361	-1.006502	F	0.943699	0.001218	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.302049	0.218461	-0.60123	0.740156	0.38224
cell_000050	donor_002	0.9160794301355688	-0.17939256294651343	1.0415431136036384	-1.006502	F	-1.121442	0.026824	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.240394	1.543926	1.649733	-0.622288	1.470205
cell_000051	donor_002	-0.024405966303575888	0.5567511110097262	-0.6664103157617314	-1.006502	F	1.463654	0.046085	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.14849	-0.892393	0.048869	-0.223618	1.261725
cell_000052	donor_002	-1.398258321374879	-0.7279630967131405	-1.877448335946361	-1.006502	F	0.559042	0.026597	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.45076	1.410224	1.532657	-0.430378	1.773905
cell_000053	donor_002	0.11900840811288005	-1.2689542005329315	1.0455304079130359	-1.006502	F	0.424503	0.00076	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.127762	-0.695335	0.684345	-1.19045	-0.012344
cell_000054	donor_002	1.2268687527883533	0.18216730442560947	0.3342683343804912	-1.006502	F	0.884588	0.002819	-0.022526	0.013688	0.047352	-0.019772	0.023371	-1.419994	-0.737274	0.207169	1.115185	-0.254223
cell_000055	donor_002	0.8837988552683749	-2.3420730198942996	-1.9016677646227385	-1.006502	F	-1.159088	0.0149	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.076325	0.962006	0.320529	0.964623	-0.527982
cell_000056	donor_002	-0.07534874405967901	1.834802086977107	-0.5660996844400003	-1.006502	F	-0.610937	0.020863	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.858601	0.204977	-0.756281	0.036137	-0.31349
cell_000057	donor_002	0.25663487169434496	-1.631214494020039	0.3661317928590043	-1.006502	F	1.637112	0.010456	-0.022526	0.013688	0.047352	-0.019772	0.023371	-1.161614	0.353061	-0.799174	-1.972307	-0.015812
cell_000058	donor_002	-0.22394194818275376	-0.35914754862819454	-0.641609926151931	-1.006502	F	1.23863	0.05032	-0.022526	0.013688	0.047352	-0.019772	0.023371	-1.282969	-0.671022	0.701502	-0.382148	0.412394
cell_000059	donor_002	0.48067059340635837	-0.7406056468031766	-1.3710936890325518	-1.006502	F	-0.20038	0.037201	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.17285	1.371528	0.809423	-0.218812	-0.857182
cell_000060	donor_002	-1.696127120866893	1.8334818255628798	-0.8537296257185257	-1.006502	F	-0.087046	0.069502	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.429027	1.915134	-0.923944	-0.176383	-1.648808
cell_000061	donor_002	0.061104355488531784	1.60067196343509	0.47847844363058323	-1.006502	F	0.147004	0.046323	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.732494	-0.738205	-0.205597	0.235883	-1.373359
cell_000062	donor_002	-0.683671692534227	0.5181490873629379	0.3050457415952255	-1.006502	F	0.100323	0.036417	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.094486	-0.77636	-0.348318	-1.222988	-0.178675
cell_000063	donor_002	0.3558630255300698	-1.0920235275251364	0.890095135680237	-1.006502	F	-0.72385	0.038779	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.637308	0.71133	0.278185	-0.517731	1.791257
cell_000064	donor_002	-0.6104298853772289	1.4467723536696875	0.21459484085399996	-1.006502	F	0.159246	0.024218	-0.022526	0.013688	0.047352	-0.019772	0.023371	-1.056032	0.514951	0.217743	-0.401615	-0.683718
cell_000065	donor_002	0.6941493385803119	0.7955569343406061	0.6093898552328052	-1.006502	F	0.986049	0.018408	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.740417	0.64059	1.049841	-0.839171	-1.19555
cell_000066	donor_002	1.0475652594862552	2.0381867182057114	0.7174929991459497	-1.006502	F	-0.642395	0.006836	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.128473	0.014376	0.024344	0.209365	0.085228
cell_000067	donor_002	0.30584044030851953	0.925789960245187	0.4549421935180661	-1.006502	F	0.231657	0.040829	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.400271	-0.247916	-1.111254	-0.950788	0.335931
cell_000068	donor_002	-0.6772168500720943	0.44110436523287644	-0.9391277267694521	-1.006502	F	0.976329	0.001495	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.164225	-0.621482	-0.828784	-0.90308	-0.778037
cell_000069	donor_002	0.9255849094712516	-1.7328012827042822	0.8096522027267291	-1.006502	F	1.291361	0.04094	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.604164	-0.059885	-1.231498	0.171912	-0.758284
cell_000070	donor_002	-0.7539706139769833	-0.5986550335255812	-0.815881249364483	-1.006502	F	0.756773	0.036979	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.214563	-0.347361	-0.514814	0.778328	-0.016579
cell_000071	donor_002	-1.4418706047714673	0.1271577034375057	-0.2786928660546356	-1.006502	F	-0.316873	0.021933	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.766116	-1.437403	0.731898	-0.27472	1.3447
cell_000072	donor_002	0.7853723921798664	1.0673519486012009	1.2017016990326386	-1.006502	F	0.460704	0.016911	-0.022526	0.013688	0.047352	-0.019772	0.023371	-1.373584	2.319728	-1.327496	-0.649505	2.203687
cell_000073	donor_002	-0.08473462595623897	-0.9282690598698413	-1.1632122889168828	-1.006502	F	0.33257	0.024785	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.609339	-0.028462	1.586064	-1.082227	0.172174
cell_000074	donor_002	-0.5840704483810903	0.9761678813348805	-0.9191020917141376	-1.006502	F	0.56314	0.041237	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.332481	-1.037763	0.872808	-1.420136	1.34288
cell_000075	donor_002	-0.019223888756447552	1.1844287226949033	-0.2718527076304904	-1.006502	F	2.492394	0.003276	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.674327	-1.040461	-1.211115	0.214193	0.231653
cell_000076	donor_002	0.5193917156827595	-0.5156848625166777	-1.129256646418103	-1.006502	F	0.009294	0.044035	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.200556	1.321854	-1.168938	-1.03062	0.835691
cell_000077	donor_002	-0.5223937308335396	-1.327689115001798	0.6386485882379304	-1.006502	F	-0.562733	0.025112	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.476781	0.10003	-0.428057	-0.412057	1.537723
cell_000078	donor_002	-1.6082767501168065	-0.7071285219309358	0.9916963865945337	-1.006502	F	-0.219757	0.040712	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.105208	-0.183078	-0.231619	0.281578	0.127836
cell_000079	donor_002	-0.8207015187356063	1.5267300371911268	0.32466056054308995	-1.006502	F	1.050705	0.003429	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.778613	2.36155	-1.443875	-0.312227	1.221934
cell_000080	donor_002	-0.09394130581030115	1.1252293551399821	-0.3354079640639201	-1.006502	F	-1.151603	0.025255	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.955096	0.014492	0.673791	2.386617	0.515561
cell_000081	donor_002	0.9997778899791357	-0.6090694385910638	-0.010611717916947094	-1.006502	F	1.419782	0.012256	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.422832	0.87154	-0.767677	-0.841107	1.191337
cell_000082	donor_002	1.4908507955331316	0.2952464963848871	0.18536672648538743	-1.006502	F	1.311806	0.019872	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.664172	-0.402415	0.66589	-1.366441	1.858533
cell_000083	donor_002	-1.6725465972904219	0.5951157604120396	-1.2816898619511812	-1.006502	F	1.611553	0.040117	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.447854	-0.914578	-0.911372	-0.679885	-0.387792
cell_000084	donor_002	-1.258530817737497	1.0642317483787547	0.6021221038235345	-1.006502	F	1.608646	0.031224	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.244431	-0.451802	-0.053107	-0.308088	0.060897
cell_000085	donor_002	1.02569520586172	-0.19486152394717998	-1.4827826996976776	-1.006502	F	-1.448542	0.017225	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.614142	-1.154124	-0.24731	1.041366	-0.815783
cell_000086	donor_002	0.964041876699195	0.29909635111340266	0.13829133266901292	-1.006502	F	-0.121629	0.030022	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.33309	-0.258597	0.366458	-0.630502	-1.758492
cell_000087	donor_002	-0.4872029964960673	-1.1873174273429696	-1.7840091689564745	-1.006502	F	1.311604	0.024508	-0.022526	0.013688	0.047352	-0.019772	0.023371	1.160009	-0.319642	-0.519025	-0.276932	0.940631
cell_000088	donor_002	-0.27293822713140825	-0.3527377739505746	-0.10086533840273312	-1.006502	F	-2.164673	0.031395	-0.022526	0.013688	0.047352	-0.019772	0.023371	0.598064	1.581432	-0.640993	-3.067854	0.187368
cell_000089	donor_002	-0.7428238942554233	0.8162994326731309	0.33098433958422374	-1.006502	F	-0.435593	0.026471	-0.022526	0.013688	0.047352	-0.019772	0.023371	-0.20712	0.396321	1.899852	-0.915904	-0.031451
cell_000090	donor_003	-0.5934368288876536	0.08711735918665049	0.28831458360515017	0.123605	F	-1.046816	0.01826	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.765302	-0.346436	0.998713	-0.588378	-0.170687
cell_000091	donor_003	-0.5314853647749672	-1.6937334300732083	0.17709486286635204	0.123605	F	1.402958	0.026886	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.488922	-0.17978	-1.269398	-0.852094	-0.207118
cell_000092	donor_003	0.9875982102927786	-0.5269896189454345	-0.6655005738103094	0.123605	F	-0.161385	0.008831	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.595666	0.738791	-0.806832	-0.83393	-0.292773
cell_000093	donor_003	0.6948180379708808	0.6501472583201932	0.848535805345704	0.123605	F	-1.48773	0.037014	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.032838	0.724095	-0.722967	1.239227	-0.39225
cell_000094	donor_003	-0.5756642445243951	0.9953996676068159	-0.5322239729237919	0.123605	F	-1.12405	0.026324	0.028912	-0.017309	-0.008541	0.027402	0.032501	1.666449	0.641058	-1.228911	-0.452362	-2.674808
cell_000095	donor_003	0.5390423499702731	0.48064433564489745	1.2166151703297836	0.123605	F	-0.228113	0.003204	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.426385	0.597603	0.744081	-0.21216	3.121438
cell_000096	donor_003	0.44232005812913483	0.13909393584840432	1.0183333529233078	0.123605	F	-0.907532	0.044975	0.028912	-0.017309	-0.008541	0.027402	0.032501	1.258846	0.19233	0.538802	0.505754	0.680872
cell_000097	donor_003	0.7156704585723638	0.280976647842243	0.2901532096986951	0.123605	F	-0.234758	0.045295	0.028912	-0.017309	-0.008541	0.027402	0.032501	1.702747	1.395692	-0.40024	2.042003	-0.15528
cell_000098	donor_003	0.29826057182696375	-1.951759318153069	0.03050898755644565	0.123605	F	0.035821	0.043058	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.849108	0.484506	2.771178	-0.060552	0.202644
cell_000099	donor_003	0.4337947828611369	-0.11820094464105355	1.261769304139572	0.123605	F	-0.074182	0.062712	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.744464	0.02582	0.936259	-1.240615	-1.231139
cell_000100	donor_003	-0.16176769029271212	-0.33267496927832746	-1.8657067562180978	0.123605	F	-0.753665	0.046845	0.028912	-0.017309	-0.008541	0.027402	0.032501	-1.22281	-1.178711	-1.676805	-0.833058	-1.029081
cell_000101	donor_003	0.8497707501657408	-0.46883708014645076	1.0235306505792654	0.123605	F	0.084821	0.042544	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.756406	0.748986	-0.095654	1.550205	0.588018
cell_000102	donor_003	1.0518997067509217	-0.3687629182236317	-1.2117113445059857	0.123605	F	-0.457629	0.004432	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.927196	1.079005	1.619431	-0.198094	0.021563
cell_000103	donor_003	-0.9793150529129686	-0.8314939849082847	-0.4219337400402517	0.123605	F	0.761789	0.011235	0.028912	-0.017309	-0.008541	0.027402	0.032501	-1.076621	-1.722763	0.702852	-0.548773	1.884187
cell_000104	donor_003	0.2584850459017247	0.17987019308022026	-0.18347960762812748	0.123605	F	0.126058	0.037951	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.258669	-0.005388	0.701048	-0.518	-2.40352
cell_000105	donor_003	-0.45057712592220495	0.2399413814778166	1.3150215848504372	0.123605	F	0.286955	0.047592	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.633309	-0.905218	0.317183	1.091289	1.764592
cell_000106	donor_003	1.1351568435426458	-0.24732188299687624	0.6790540552666233	0.123605	F	0.179189	0.017462	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.668327	-0.054756	-1.103613	0.636148	-0.038908
cell_000107	donor_003	-0.6820473525505845	-0.5778426819749466	0.1656956102876056	0.123605	F	-2.314417	0.025979	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.180617	-1.367927	-0.495176	-0.580284	-0.262532
cell_000108	donor_003	0.01922372577778043	0.4013434658408651	1.6342325639009945	0.123605	F	0.240894	0.069586	0.028912	-0.017309	-0.008541	0.027402	0.032501	1.011395	-1.035982	-1.083461	-0.421285	-0.232208
cell_000109	donor_003	0.9974176664123652	0.01895149987332544	0.5444262277754941	0.123605	F	-0.333639	0.049099	0.028912	-0.017309	-0.008541	0.027402	0.032501	2.554929	-0.766889	2.544066	-0.092269	-0.582702
cell_000110	donor_003	0.9256852078698703	-1.1440075755169559	-1.777877921654674	0.123605	F	0.14138	0.036826	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.162125	0.196169	-0.625146	-1.000976	-1.244596
cell_000111	donor_003	1.2772301204093335	-1.362044854096423	0.20699291592830865	0.123605	F	0.222176	0.019667	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.9488	-1.628476	0.28971	-0.991214	1.688674
cell_000112	donor_003	1.3434624986891266	-0.8069381908812012	1.036708865302127	0.123605	F	-0.040977	0.009478	0.028912	-0.017309	-0.008541	0.027402	0.032501	-1.404992	-1.717391	0.334307	0.191205	1.54906
cell_000113	donor_003	1.1717923037368079	1.735410365696512	-0.29496645865436183	0.123605	F	-1.092378	0.022699	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.495736	-1.03351	0.611333	-1.68354	-0.91484
cell_000114	donor_003	-0.8925788221204392	-2.882861211970051e-5	-0.2693359157236882	0.123605	F	1.134914	0.020149	0.028912	-0.017309	-0.008541	0.027402	0.032501	1.041276	-0.301874	-0.29573	0.459386	-0.347118
cell_000115	donor_003	-1.2572837368485759	0.8084373309362692	-0.8544122097555445	0.123605	F	-0.323371	0.048634	0.028912	-0.017309	-0.008541	0.027402	0.032501	1.108811	0.658384	-1.081389	2.132243	-0.903154
cell_000116	donor_003	0.3774973838000554	1.2996810259798746	-0.432685335770113	0.123605	F	-0.176099	0.004571	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.724745	0.096728	0.374286	-0.365311	1.319302
cell_000117	donor_003	-0.5733146290447783	0.2634861809007201	0.7755822167243466	0.123605	F	-1.728498	0.011421	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.431364	1.008335	0.148712	-0.667562	-1.01172
cell_000118	donor_003	-0.8926935986195939	-0.33626129572367314	0.010279002568895407	0.123605	F	0.711198	0.00642	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.969317	0.430862	-0.062221	1.027845	-0.730684
cell_000119	donor_003	0.4952096376631368	-0.19523988466974634	-2.2720161790855595	0.123605	F	-0.548894	0.017294	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.691903	0.024087	1.683549	0.906551	-0.236925
cell_000120	donor_003	-0.6006806376213921	0.33876267268947274	0.6085286892011473	0.123605	F	-0.438957	0.045335	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.705857	0.527014	-1.002139	-1.077426	-0.40483
cell_000121	donor_003	0.534435761227787	-0.618390692339717	-0.7199179432501501	0.123605	F	1.286712	0.01262	0.028912	-0.017309	-0.008541	0.027402	0.032501	0.012938	0.599634	-1.32011	-0.954077	0.469535
cell_000122	donor_003	0.17327047152365918	1.1919763719361178	-0.05941519644250532	0.123605	F	0.743555	0.022174	0.028912	-0.017309	-0.008541	0.027402	0.032501	-1.106174	-0.324657	1.071646	-3.977358	2.001003
cell_000123	donor_003	-1.059659383233211	-0.34224763149962606	1.5393227162311482	0.123605	F	-0.283122	0.018722	0.028912	-0.017309	-0.008541	0.027402	0.032501	-0.921894	1.109044	0.303896	0.039477	-0.313627
