cell_id	CTSS
cell_000404	1
cell_000405	0
cell_000406	1
cell_000407	0
cell_000408	1
cell_000409	0
cell_000410	2
cell_000411	2
cell_000412	0
cell_000413	0
cell_000414	0
cell_000415	1
cell_000416	0
cell_000417	1
cell_000418	0
cell_000419	0
cell_000420	0
cell_000421	1
cell_000422	0
cell_000423	0
cell_000424	0
cell_000425	0
cell_000426	1
cell_000427	0
cell_000428	0
cell_000429	0
cell_000430	2
cell_000431	0
cell_000432	2
cell_000433	0
cell_000434	0
cell_000435	1
cell_000436	0
cell_000437	0
cell_000438	1
cell_000439	0
cell_000440	0
cell_000441	0
cell_000442	3
cell_000443	1
cell_000444	0
cell_000445	1
cell_000446	0
cell_000447	4
cell_000448	1
cell_000449	2
cell_000450	0
cell_000451	1
cell_000452	3
cell_000453	1
cell_000454	6
cell_000455	0
cell_000456	1
cell_000457	1
cell_000458	3
cell_000459	0
cell_000460	0
cell_000461	2
cell_000462	1
cell_000463	2
cell_000464	1
cell_000465	1
cell_000466	3
cell_000467	4
cell_000468	1
cell_000469	0
cell_000470	2
cell_000471	1
cell_000472	1
cell_000473	0
cell_000474	0
cell_000475	0
cell_000476	3
cell_000477	0
cell_000478	4
cell_000479	0
cell_000480	2
cell_000481	0
cell_000482	0
cell_000483	1
cell_000484	0
cell_000485	1
cell_000486	2
cell_000487	2
cell_000488	1
cell_000489	0
cell_000490	0
cell_000491	0
cell_000492	0
cell_000493	0
cell_000494	1
cell_000495	1
cell_000496	1
cell_000497	2
cell_000498	0
cell_000499	0
cell_000500	1
cell_000501	2
cell_000502	1
cell_000503	0
cell_000504	1
cell_000505	1
cell_000506	0
cell_000507	0
cell_000508	0
cell_000509	0
cell_000510	0
cell_000511	1
cell_000512	0
cell_000513	0
cell_000514	0
cell_000515	0
cell_000516	0
cell_000517	0
cell_000518	0
cell_000519	1
cell_000520	0
cell_000521	0
cell_000522	3
cell_000523	0
cell_000524	0
cell_000525	0
cell_000526	0
cell_000527	0
cell_000528	0
cell_000529	0
cell_000530	2
cell_000531	1
cell_000532	0
cell_000533	0
cell_000534	2
cell_000535	1
cell_000536	0
cell_000537	0
cell_000538	0
cell_000539	0
cell_000540	0
cell_000541	1
cell_000542	0
cell_000543	0
cell_000544	0
cell_000545	0
cell_000546	2
cell_000547	0
cell_000548	0
cell_000549	0
cell_000550	2
cell_000551	0
cell_000552	0
cell_000553	0
cell_000554	0
cell_000555	0
cell_000556	1
cell_000557	0
cell_000558	0
cell_000559	1
cell_000560	0
cell_000561	0
cell_000562	0
cell_000563	1
cell_000564	0
cell_000565	1
cell_000566	1
cell_000567	1
cell_000568	0
cell_000569	0
cell_000570	0
cell_000571	0
cell_000572	2
cell_000573	1
cell_000574	3
cell_000575	0
cell_000576	0
cell_000577	0
cell_000578	0
cell_000579	0
cell_000580	0
cell_000581	1
cell_000582	2
cell_000583	0
cell_000584	0
cell_000585	1
cell_000586	0
cell_000587	0
cell_000588	2
cell_000589	0
cell_000590	0
cell_000591	0
cell_000592	0
cell_000593	0
cell_000594	0
cell_000595	3
cell_000596	2
cell_000597	1
cell_000598	2
cell_000599	6
cell_000600	4
cell_000601	2
cell_000602	1
cell_000603	1
cell_000604	3
cell_000605	3
cell_000606	1
cell_000607	2
cell_000608	0
cell_000609	3
cell_000610	2
cell_000611	0
cell_000612	3
cell_000613	0
cell_000614	1
cell_000615	4
cell_000616	3
cell_000617	1
cell_000618	2
cell_000619	1
cell_000620	1
cell_000621	1
cell_000622	2
cell_000623	2
cell_000624	1
cell_000625	2
cell_000626	2
cell_000627	0
cell_000628	1
cell_000629	0
cell_000630	2
cell_000631	1
cell_000632	5
cell_000633	0
cell_000634	5
cell_000635	2
cell_000636	4
cell_000637	2
cell_000638	3
cell_000639	4
cell_000640	1
cell_000641	1
cell_000642	0
cell_000643	1
cell_000644	2
cell_000645	5
cell_000646	1
cell_000647	4
cell_000648	0
cell_000649	2
cell_000650	5
cell_000651	1
cell_000652	3
cell_000653	3
cell_000654	4
cell_000655	2
cell_000656	4
cell_000657	5
cell_000658	1
cell_000659	0
cell_000660	1
cell_000661	3
cell_000662	0
cell_000663	3
cell_000664	0
cell_000665	0
cell_000666	0
cell_000667	0
cell_000668	0
cell_000669	0
cell_000670	0
cell_000671	2
cell_000672	0
cell_000673	0
cell_000674	2
cell_000675	0
cell_000676	0
cell_000677	1
cell_000678	0
cell_000679	1
cell_000680	0
cell_000681	1
cell_000682	1
cell_000683	0
cell_000684	0
cell_000685	1
cell_000686	0
cell_000687	0
cell_000688	0
cell_000689	0
cell_000690	0
cell_000691	0
cell_000692	0
cell_000693	1
cell_000694	0
cell_000695	0
cell_000696	0
cell_000697	0
cell_000698	1
cell_000699	0
cell_000700	1
cell_000701	3
cell_000702	1
cell_000703	0
cell_000704	1
cell_000705	0
cell_000706	0
cell_000707	0
cell_000708	1
cell_000709	0
cell_000710	0
cell_000711	0
cell_000712	1
cell_000713	2
cell_000714	1
cell_000715	1
cell_000716	1
cell_000717	1
cell_000718	0
cell_000719	0
cell_000720	0
cell_000721	2
cell_000722	1
cell_000723	0
cell_000724	2
cell_000725	0
cell_000726	0
cell_000727	0
cell_000728	0
cell_000729	2
cell_000730	2
cell_000731	1
cell_000732	0
cell_000733	1
cell_000734	3
cell_000735	1
cell_000736	0
cell_000737	0
cell_000738	0
cell_000739	0
cell_000740	0
cell_000741	0
cell_000742	0
cell_000743	2
cell_000744	0
cell_000745	1
cell_000746	0
cell_000747	1
cell_000748	1
cell_000749	2
cell_000750	4
cell_000751	0
cell_000752	1
cell_000753	0
cell_000754	0
cell_000755	3
cell_000756	1
cell_000757	1
cell_000758	5
cell_000759	3
cell_000760	0
cell_000761	4
cell_000762	2
cell_000763	0
cell_000764	6
cell_000765	3
cell_000766	5
cell_000767	1
cell_000768	4
cell_000769	1
cell_000770	2
cell_000771	1
cell_000772	2
cell_000773	0
cell_000774	0
cell_000775	3
cell_000776	0
cell_000777	0
cell_000778	0
cell_000779	2
cell_000780	0
cell_000781	0
cell_000782	0
cell_000783	0
cell_000784	1
cell_000785	0
cell_000786	0
cell_000787	0
cell_000788	0
cell_000789	0
cell_000790	3
cell_000791	0
cell_000792	0
cell_000793	0
cell_000794	0
cell_000795	1
cell_000796	3
cell_000797	1
cell_000798	0
cell_000799	0
cell_000800	1
cell_000801	0
cell_000802	1
cell_000803	0
cell_000804	0
cell_000805	1
cell_000806	0
cell_000807	0
cell_000808	0
cell_000809	0
cell_000810	0
cell_000811	0
cell_000812	1
cell_000813	1
cell_000814	2
cell_000815	1
cell_000816	0
cell_000817	2
cell_000818	1
cell_000819	0
cell_000820	1
cell_000821	0
cell_000822	1
cell_000823	2
cell_000824	2
cell_000825	3
cell_000826	0
cell_000827	2
cell_000828	1
cell_000829	2
cell_000830	0
cell_000831	2
cell_000832	0
cell_000833	0
cell_000834	1
cell_000835	0
cell_000836	2
cell_000837	2
cell_000838	3
cell_000839	0
cell_000840	1
cell_000841	1
cell_000842	1
cell_000843	4
cell_000844	0
cell_000845	1
cell_000846	1
cell_000847	0
cell_000848	0
cell_000849	0
cell_000850	1
cell_000851	2
cell_000852	2
cell_000853	1
cell_000854	0
cell_000855	1
cell_000856	1
cell_000857	1
cell_000858	0
cell_000859	4
cell_000860	0
cell_000861	2
cell_000862	0
cell_000863	3
cell_000864	2
cell_000865	3
cell_000866	3
cell_000867	3
cell_000868	2
cell_000869	2
cell_000870	1
cell_000871	0
cell_000872	3
cell_000873	2
cell_000874	0
cell_000875	1
cell_000876	2
cell_000877	2
cell_000878	5
cell_000879	1
cell_000880	2
cell_000881	3
cell_000882	2
cell_000883	2
cell_000884	2
cell_000885	1
cell_000886	1
cell_000887	1
cell_000888	4
cell_000889	3
cell_000890	0
cell_000891	2
cell_000892	1
cell_000893	1
cell_000894	0
cell_000895	2
cell_000896	2
cell_000897	1
cell_000898	4
cell_000899	0
cell_000900	0
cell_000901	0
cell_000902	1
cell_000903	0
cell_000904	0
cell_000905	0
cell_000906	2
cell_000907	0
cell_000908	2
cell_000909	1
cell_000910	1
cell_000911	1
cell_000912	1
cell_000913	0
cell_000914	2
cell_000915	1
cell_000916	2
cell_000917	0
cell_000918	0
cell_000919	0
cell_000920	0
cell_000921	0
cell_000922	0
cell_000923	0
cell_000924	4
cell_000925	0
cell_000926	4
cell_000927	0
cell_000928	0
cell_000929	3
cell_000930	0
cell_000931	0
cell_000932	1
cell_000933	2
cell_000934	1
cell_000935	0
cell_000936	3
cell_000937	0
cell_000938	3
cell_000939	3
cell_000940	1
cell_000941	1
cell_000942	4
cell_000943	2
cell_000944	0
cell_000945	0
cell_000946	0
cell_000947	0
cell_000948	1
cell_000949	2
cell_000950	1
cell_000951	0
cell_000952	2
cell_000953	2
cell_000954	0
cell_000955	0
cell_000956	3
cell_000957	0
cell_000958	4
cell_000959	1
cell_000960	0
cell_000961	1
cell_000962	0
cell_000963	0
cell_000964	1
cell_000965	1
cell_000966	0
cell_000967	2
cell_000968	0
cell_000969	0
cell_000970	1
cell_000971	2
cell_000972	1
cell_000973	1
cell_000974	1
cell_000975	0
cell_000976	1
cell_000977	1
cell_000978	2
cell_000979	1
cell_000980	1
cell_000981	5
cell_000982	1
cell_000983	4
cell_000984	2
cell_000985	1
cell_000986	2
cell_000987	8
cell_000988	4
cell_000989	2
cell_000990	1
cell_000991	3
cell_000992	3
cell_000993	1
cell_000994	4
cell_000995	0
cell_000996	0
cell_000997	4
cell_000998	5
cell_000999	3
cell_001000	3
cell_001001	0
cell_001002	3
cell_001003	1
cell_001004	2
cell_001005	0
cell_001006	1
cell_001007	1
cell_001008	0
cell_001009	1
cell_001010	2
cell_001011	1
cell_001012	4
cell_001013	2
cell_001014	2
cell_001015	3
cell_001016	1
cell_001017	1
cell_001018	1
cell_001019	1
cell_001020	3
cell_001021	0
cell_001022	2
cell_001023	0
cell_001024	0
cell_001025	0
cell_001026	1
cell_001027	0
cell_001028	2
cell_001029	0
cell_001030	0
cell_001031	2
cell_001032	1
cell_001033	0
cell_001034	1
cell_001035	0
cell_001036	2
cell_001037	0
cell_001038	0
cell_001039	0
cell_001040	0
cell_001041	1
cell_001042	1
cell_001043	1
cell_001044	1
cell_001045	0
cell_001046	3
cell_001047	1
cell_001048	1
cell_001049	1
cell_001050	0
cell_001051	1
cell_001052	0
cell_001053	0
cell_001054	1
cell_001055	0
cell_001056	0
cell_001057	1
cell_001058	1
cell_001059	0
cell_001060	1
cell_001061	0
cell_001062	1
cell_001063	1
cell_001064	3
cell_001065	1
cell_001066	0
cell_001067	1
cell_001068	1
cell_001069	2
cell_001070	1
cell_001071	1
cell_001072	0
cell_001073	0
cell_001074	0
cell_001075	0
cell_001076	0
cell_001077	0
cell_001078	1
cell_001079	0
cell_001080	0
cell_001081	0
cell_001082	2
cell_001083	2
cell_001084	2
cell_001085	0
cell_001086	1
cell_001087	1
cell_001088	0
cell_001089	2
cell_001090	0
cell_001091	0
cell_001092	2
cell_001093	0
cell_001094	0
cell_001095	0
cell_001096	0
cell_001097	1
cell_001098	0
cell_001099	1
cell_001100	0
cell_001101	1
cell_001102	1
cell_001103	0
cell_001104	0
cell_001105	1
cell_001106	0
cell_001107	0
cell_001108	0
cell_001109	0
cell_001110	2
cell_001111	3
cell_001112	1
cell_001113	1
cell_001114	3
cell_001115	0
cell_001116	0
cell_001117	0
cell_001118	1
cell_001119	1
cell_001120	2
cell_001121	0
cell_001122	0
cell_001123	1
cell_001124	0
cell_001125	0
cell_001126	2
cell_001127	0
cell_001128	2
cell_001129	0
cell_001130	0
cell_001131	1
cell_001132	3
cell_001133	0
cell_001134	1
cell_001135	3
cell_001136	1
cell_001137	0
cell_001138	1
cell_001139	1
cell_001140	1
cell_001141	1
cell_001142	0
cell_001143	2
cell_001144	0
cell_001145	0
cell_001146	1
cell_001147	0
cell_001148	0
cell_001149	1
cell_001150	1
cell_001151	2
cell_001152	0
cell_001153	2
cell_001154	0
cell_001155	1
cell_001156	0
cell_001157	1
cell_001158	1
cell_001159	0
cell_001160	1
cell_001161	2
cell_001162	0
cell_001163	1
cell_001164	1
cell_001165	0
cell_001166	2
cell_001167	0
cell_001168	0
cell_001169	4
cell_001170	1
cell_001171	1
cell_001172	1
cell_001173	0
cell_001174	1
cell_001175	2
cell_001176	4
cell_001177	0
cell_001178	1
cell_001179	1
cell_001180	3
cell_001181	1
cell_001182	0
cell_001183	0
cell_001184	1
cell_001185	1
cell_001186	0
cell_001187	2
cell_001188	0
cell_001189	0
cell_001190	1
cell_001191	2
cell_001192	1
cell_001193	0
cell_001194	0
cell_001195	1
cell_001196	0
cell_001197	0
cell_001198	1
cell_001199	2
cell_001200	2
cell_001201	0
cell_001202	2
cell_001203	0
cell_001204	2
cell_001205	0
cell_001206	2
cell_001207	2
cell_001208	4
cell_001209	1
cell_001210	1
cell_001211	1
cell_001212	1
cell_001213	2
cell_001214	1
cell_001215	3
cell_001216	2
cell_001217	2
cell_001218	6
cell_001219	5
cell_001220	1
cell_001221	2
cell_001222	0
cell_001223	0
cell_001224	1
cell_001225	0
cell_001226	3
cell_001227	2
cell_001228	0
cell_001229	1
cell_001230	1
cell_001231	4
cell_001232	2
cell_001233	6
cell_001234	1
cell_001235	1
cell_001236	1
cell_001237	2
cell_001238	0
cell_001239	4
cell_001240	1
cell_001241	1
cell_001242	0
cell_001243	0
cell_001244	0
cell_001245	0
cell_001246	1
cell_001247	0
cell_001248	2
cell_001249	1
cell_001250	1
cell_001251	0
cell_001252	1
cell_001253	2
cell_001254	0
cell_001255	0
cell_001256	1
cell_001257	1
cell_001258	0
cell_001259	2
cell_001260	0
cell_001261	0
cell_001262	0
cell_001263	0
cell_001264	0
cell_001265	0
cell_001266	0
cell_001267	1
cell_001268	0
cell_001269	0
cell_001270	0
cell_001271	0
cell_001272	1
cell_001273	0
cell_001274	1
cell_001275	0
cell_001276	4
cell_001277	0
cell_001278	0
cell_001279	1
cell_001280	0
cell_001281	0
cell_001282	1
cell_001283	0
cell_001284	1
cell_001285	0
cell_001286	2
cell_001287	1
cell_001288	1
cell_001289	1
cell_001290	1
cell_001291	0
cell_001292	1
cell_001293	0
cell_001294	4
cell_001295	0
cell_001296	2
cell_001297	3
cell_001298	3
cell_001299	2
cell_001300	2
cell_001301	0
cell_001302	2
cell_001303	1
cell_001304	2
cell_001305	6
cell_001306	4
cell_001307	3
cell_001308	0
cell_001309	1
cell_001310	2
cell_001311	0
cell_001312	1
cell_001313	1
cell_001314	2
cell_001315	4
cell_001316	0
cell_001317	2
cell_001318	0
cell_001319	0
cell_001320	2
cell_001321	0
cell_001322	0
cell_001323	0
cell_001324	0
cell_001325	0
cell_001326	0
cell_001327	2
cell_001328	0
cell_001329	1
cell_001330	2
cell_001331	1
cell_001332	2
cell_001333	1
cell_001334	1
cell_001335	1
cell_001336	2
cell_001337	1
cell_001338	1
cell_001339	0
cell_001340	0
cell_001341	0
cell_001342	0
cell_001343	0
cell_001344	3
cell_001345	0
cell_001346	0
cell_001347	0
cell_001348	0
cell_001349	1
cell_001350	1
cell_001351	1
cell_001352	1
cell_001353	1
cell_001354	0
cell_001355	2
cell_001356	0
cell_001357	0
cell_001358	3
cell_001359	0
cell_001360	2
cell_001361	1
cell_001362	1
cell_001363	1
cell_001364	1
cell_001365	2
cell_001366	2
cell_001367	2
cell_001368	0
cell_001369	0
cell_001370	0
cell_001371	0
cell_001372	0
cell_001373	1
cell_001374	4
cell_001375	0
cell_001376	0
cell_001377	2
cell_001378	0
cell_001379	0
cell_001380	0
cell_001381	0
cell_001382	0
cell_001383	1
cell_001384	3
cell_001385	3
cell_001386	2
cell_001387	1
cell_001388	1
cell_001389	2
cell_001390	1
cell_001391	1
cell_001392	0
cell_001393	1
cell_001394	1
cell_001395	1
cell_001396	0
cell_001397	2
cell_001398	2
cell_001399	4
cell_001400	3
cell_001401	0
cell_001402	1
cell_001403	0
cell_001404	0
cell_001405	0
cell_001406	3
cell_001407	0
cell_001408	0
cell_001409	0
cell_001410	0
cell_001411	1
cell_001412	0
cell_001413	0
cell_001414	2
cell_001415	1
cell_001416	1
cell_001417	1
cell_001418	0
cell_001419	2
cell_001420	0
cell_001421	0
cell_001422	3
cell_001423	2
cell_001424	1
cell_001425	1
cell_001426	1
cell_001427	0
cell_001428	1
cell_001429	0
cell_001430	0
cell_001431	2
cell_001432	0
cell_001433	1
cell_001434	0
cell_001435	0
cell_001436	1
cell_001437	1
cell_001438	0
cell_001439	0
cell_001440	1
cell_001441	0
cell_001442	0
cell_001443	0
cell_001444	0
cell_001445	0
cell_001446	0
cell_001447	0
cell_001448	0
cell_001449	3
cell_001450	0
cell_001451	0
cell_001452	2
cell_001453	0
cell_001454	0
cell_001455	0
cell_001456	0
cell_001457	0
cell_001458	0
cell_001459	0
cell_001460	4
cell_001461	1
cell_001462	1
cell_001463	1
cell_001464	0
cell_001465	0
cell_001466	0
cell_001467	0
cell_001468	3
cell_001469	0
cell_001470	1
cell_001471	1
cell_001472	2
cell_001473	0
cell_001474	2
cell_001475	1
cell_001476	0
cell_001477	0
cell_001478	2
cell_001479	0
cell_001480	0
cell_001481	2
cell_001482	0
cell_001483	2
cell_001484	3
cell_001485	1
cell_001486	1
cell_001487	1
cell_001488	2
cell_001489	1
cell_001490	1
cell_001491	1
cell_001492	1
cell_001493	2
cell_001494	0
cell_001495	2
cell_001496	1
cell_001497	2
cell_001498	1
cell_001499	0
cell_001500	1
cell_001501	0
cell_001502	1
cell_001503	3
cell_001504	0
cell_001505	0
cell_001506	1
cell_001507	0
cell_001508	0
cell_001509	0
cell_001510	1
cell_001511	0
cell_001512	2
cell_001513	1
cell_001514	2
cell_001515	0
cell_001516	0
cell_001517	1
cell_001518	1
cell_001519	1
cell_001520	0
cell_001521	0
cell_001522	1
cell_001523	2
cell_001524	1
cell_001525	2
cell_001526	1
cell_001527	0
cell_001528	2
cell_001529	1
cell_001530	0
cell_001531	0
cell_001532	0
cell_001533	0
cell_001534	0
cell_001535	0
cell_001536	1
cell_001537	0
cell_001538	0
cell_001539	2
cell_001540	0
cell_001541	0
cell_001542	0
cell_001543	0
cell_001544	1
cell_001545	1
cell_001546	1
cell_001547	0
cell_001548	0
cell_001549	1
cell_001550	0
cell_001551	2
cell_001552	0
cell_001553	1
cell_001554	0
cell_001555	1
cell_001556	1
cell_001557	2
cell_001558	0
cell_001559	0
cell_001560	0
cell_001561	0
cell_001562	1
cell_001563	0
cell_001564	1
cell_001565	0
cell_001566	1
cell_001567	2
cell_001568	0
cell_001569	0
cell_001570	0
cell_001571	0
cell_001572	0
cell_001573	0
cell_001574	2
cell_001575	0
cell_001576	0
cell_001577	0
cell_001578	1
cell_001579	0
cell_001580	0
cell_001581	0
cell_001582	0
cell_001583	0
cell_001584	0
cell_001585	3
cell_001586	1
cell_001587	0
cell_001588	1
cell_001589	0
cell_001590	1
cell_001591	0
cell_001592	0
cell_001593	1
cell_001594	2
cell_001595	0
cell_001596	4
cell_001597	0
cell_001598	0
cell_001599	0
cell_001600	2
cell_001601	1
cell_001602	1
cell_001603	3
cell_001604	0
cell_001605	1
cell_001606	3
cell_001607	4
cell_001608	1
cell_001609	0
cell_001610	1
cell_001611	3
cell_001612	1
cell_001613	2
cell_001614	1
cell_001615	2
cell_001616	1
cell_001617	6
cell_001618	4
cell_001619	0
cell_001620	0
cell_001621	4
cell_001622	3
cell_001623	3
cell_001624	0
cell_001625	1
cell_001626	0
cell_001627	0
cell_001628	2
cell_001629	0
cell_001630	1
cell_001631	3
cell_001632	0
cell_001633	4
cell_001634	0
cell_001635	2
cell_001636	3
cell_001637	1
cell_001638	1
cell_001639	0
cell_001640	0
cell_001641	0
cell_001642	0
cell_001643	4
cell_001644	0
cell_001645	1
cell_001646	0
cell_001647	0
cell_001648	0
cell_001649	1
cell_001650	0
cell_001651	0
cell_001652	0
cell_001653	0
cell_001654	0
cell_001655	1
cell_001656	1
cell_001657	0
cell_001658	0
cell_001659	1
cell_001660	4
cell_001661	1
cell_001662	0
cell_001663	0
cell_001664	0
cell_001665	1
cell_001666	0
cell_001667	1
cell_001668	1
cell_001669	0
cell_001670	0
cell_001671	1
cell_001672	2
cell_001673	0
cell_001674	0
cell_001675	0
cell_001676	0
cell_001677	0
cell_001678	0
cell_001679	0
cell_001680	0
cell_001681	0
cell_001682	0
cell_001683	1
cell_001684	0
cell_001685	0
cell_001686	1
cell_001687	0
cell_001688	1
cell_001689	1
cell_001690	1
cell_001691	0
cell_001692	0
cell_001693	2
cell_001694	5
cell_001695	3
cell_001696	1
cell_001697	2
cell_001698	5
cell_001699	4
cell_001700	3
cell_001701	0
cell_001702	0
cell_001703	0
cell_001704	1
cell_001705	1
cell_001706	2
cell_001707	6
cell_001708	3
cell_001709	0
cell_001710	1
cell_001711	1
cell_001712	3
cell_001713	0
cell_001714	3
cell_001715	4
cell_001716	1
cell_001717	8
cell_001718	1
cell_001719	2
cell_001720	0
cell_001721	1
cell_001722	3
cell_001723	0
cell_001724	0
cell_001725	0
cell_001726	2
cell_001727	2
cell_001728	7
cell_001729	4
cell_001730	1
cell_001731	3
cell_001732	2
cell_001733	2
cell_001734	3
cell_001735	6
cell_001736	2
cell_001737	7
cell_001738	3
cell_001739	1
cell_001740	3
cell_001741	4
cell_001742	0
cell_001743	2
cell_001744	5
cell_001745	5
cell_001746	0
cell_001747	1
